# Simulation 2 (Up to date)
# 702 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (ft),Vertical velocity (m/s),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
430.611,-11.559,0.459,34.253
428.713,-11.586,0.459,34.253
426.81,-11.614,0.459,34.253
424.902,-11.642,0.459,34.253
422.991,-11.668,0.459,34.253
421.075,-11.689,0.459,34.253
419.156,-11.705,0.459,34.253
417.235,-11.713,0.459,34.253
415.314,-11.712,0.459,34.253
413.393,-11.702,0.459,34.253
411.475,-11.684,0.459,34.253
409.56,-11.659,0.459,34.253
407.65,-11.63,0.459,34.253
405.744,-11.599,0.459,34.253
403.844,-11.569,0.459,34.253
401.949,-11.542,0.459,34.253
400.057,-11.52,0.459,34.253
398.169,-11.505,0.459,34.253
396.282,-11.498,0.459,34.253
394.396,-11.5,0.459,34.253
392.508,-11.512,0.459,34.253
390.618,-11.531,0.459,34.253
388.725,-11.557,0.459,34.253
386.827,-11.586,0.459,34.253
384.923,-11.618,0.459,34.253
383.015,-11.649,0.459,34.253
381.102,-11.676,0.459,34.253
379.185,-11.698,0.459,34.253
377.264,-11.713,0.459,34.253
375.342,-11.718,0.459,34.253
373.42,-11.714,0.459,34.253
371.5,-11.699,0.459,34.253
369.582,-11.677,0.459,34.253
367.669,-11.649,0.459,34.253
365.761,-11.618,0.459,34.253
363.858,-11.585,0.459,34.253
361.96,-11.554,0.459,34.253
360.067,-11.528,0.459,34.253
358.177,-11.508,0.459,34.253
356.291,-11.497,0.459,34.253
354.405,-11.495,0.459,34.253
352.519,-11.502,0.459,34.253
350.631,-11.518,0.459,34.253
348.74,-11.54,0.459,34.253
346.844,-11.568,0.459,34.253
344.944,-11.598,0.459,34.253
343.039,-11.627,0.459,34.253
341.13,-11.654,0.459,34.253
339.216,-11.675,0.459,34.253
337.3,-11.69,0.459,34.253
335.381,-11.698,0.459,34.253
333.462,-11.698,0.459,34.253
331.544,-11.69,0.459,34.253
329.627,-11.676,0.459,34.253
327.713,-11.658,0.459,34.253
325.802,-11.638,0.459,34.253
323.895,-11.617,0.459,34.253
321.991,-11.599,0.459,34.253
320.089,-11.584,0.459,34.253
318.19,-11.572,0.459,34.253
316.292,-11.567,0.459,34.253
314.395,-11.568,0.459,34.253
312.497,-11.574,0.459,34.253
310.598,-11.583,0.459,34.253
308.697,-11.595,0.459,34.253
306.793,-11.608,0.459,34.253
304.888,-11.621,0.459,34.253
302.981,-11.631,0.459,34.253
301.072,-11.637,0.459,34.253
299.163,-11.638,0.459,34.253
297.254,-11.633,0.459,34.253
295.347,-11.622,0.459,34.253
293.442,-11.606,0.459,34.253
291.539,-11.585,0.459,34.253
289.641,-11.559,0.459,34.253
287.747,-11.531,0.459,34.253
285.858,-11.504,0.459,34.253
283.973,-11.479,0.459,34.253
282.092,-11.456,0.459,34.253
280.214,-11.438,0.459,34.253
278.339,-11.427,0.459,34.253
276.465,-11.42,0.459,34.253
274.592,-11.419,0.459,34.253
272.718,-11.425,0.459,34.253
270.843,-11.436,0.459,34.253
268.966,-11.451,0.459,34.253
267.086,-11.468,0.459,34.253
265.204,-11.486,0.459,34.253
263.318,-11.504,0.459,34.253
261.429,-11.52,0.459,34.253
259.539,-11.533,0.459,34.253
257.646,-11.542,0.459,34.253
255.752,-11.546,0.459,34.253
253.858,-11.545,0.459,34.253
251.965,-11.54,0.459,34.253
250.073,-11.53,0.459,34.253
248.182,-11.517,0.459,34.253
246.294,-11.502,0.459,34.253
244.408,-11.487,0.459,34.253
242.525,-11.473,0.459,34.253
240.644,-11.46,0.459,34.253
238.765,-11.45,0.459,34.253
236.888,-11.445,0.459,34.253
235.01,-11.443,0.459,34.253
233.133,-11.448,0.459,34.253
231.254,-11.457,0.459,34.253
229.374,-11.471,0.459,34.253
227.491,-11.488,0.459,34.253
225.605,-11.508,0.459,34.253
223.715,-11.529,0.459,34.253
221.822,-11.549,0.459,34.253
219.926,-11.568,0.459,34.253
218.027,-11.584,0.459,34.253
216.126,-11.596,0.459,34.253
214.223,-11.603,0.459,34.253
212.319,-11.607,0.459,34.253
210.415,-11.605,0.459,34.253
208.512,-11.599,0.459,34.253
206.61,-11.591,0.459,34.253
204.709,-11.581,0.459,34.253
202.81,-11.572,0.459,34.253
200.912,-11.564,0.459,34.253
199.016,-11.561,0.459,34.253
197.119,-11.562,0.459,34.253
195.222,-11.568,0.459,34.253
193.324,-11.58,0.459,34.253
191.422,-11.599,0.459,34.253
189.518,-11.623,0.459,34.253
187.609,-11.652,0.459,34.253
185.695,-11.684,0.459,34.253
183.776,-11.717,0.459,34.253
181.851,-11.751,0.459,34.253
179.921,-11.782,0.459,34.253
177.986,-11.809,0.459,34.253
176.046,-11.832,0.459,34.253
174.104,-11.849,0.459,34.253
172.159,-11.859,0.459,34.253
170.214,-11.862,0.459,34.253
168.268,-11.859,0.459,34.253
166.323,-11.851,0.459,34.253
164.38,-11.838,0.459,34.253
162.439,-11.822,0.459,34.253
160.501,-11.804,0.459,34.253
158.566,-11.786,0.459,34.253
156.634,-11.77,0.459,34.253
154.705,-11.756,0.459,34.253
152.777,-11.747,0.459,34.253
150.851,-11.742,0.459,34.253
148.925,-11.742,0.459,34.253
146.998,-11.747,0.459,34.253
145.07,-11.756,0.459,34.253
143.141,-11.77,0.459,34.253
141.209,-11.785,0.459,34.253
139.274,-11.802,0.459,34.253
137.337,-11.818,0.459,34.253
135.397,-11.833,0.459,34.253
133.455,-11.845,0.459,34.253
131.511,-11.854,0.459,34.253
129.566,-11.86,0.459,34.253
127.62,-11.86,0.459,34.253
125.675,-11.857,0.459,34.253
123.73,-11.85,0.459,34.253
121.787,-11.841,0.459,34.253
119.845,-11.83,0.459,34.253
117.906,-11.819,0.459,34.253
115.968,-11.808,0.459,34.253
114.031,-11.799,0.459,34.253
112.096,-11.793,0.459,34.253
110.162,-11.791,0.459,34.253
108.228,-11.793,0.459,34.253
106.293,-11.798,0.459,34.253
104.357,-11.808,0.459,34.253
102.419,-11.822,0.459,34.253
100.478,-11.838,0.459,34.253
98.535,-11.853,0.459,34.253
96.589,-11.869,0.459,34.253
94.641,-11.881,0.459,34.253
92.691,-11.889,0.459,34.253
90.741,-11.892,0.459,34.253
88.79,-11.888,0.459,34.253
86.841,-11.878,0.459,34.253
84.894,-11.86,0.459,34.253
82.95,-11.837,0.459,34.253
81.01,-11.809,0.459,34.253
